fixture_id,isHome,round,team_goals,opponent_goals,pts,opponent_pts,last_performance,opponent_last_performance,last_against_performance,opponent_last_against_performance,pts_difference,top_scorrer,main_gk,main_captain,opponent_top_scorrer,opponent_main_gk,opponent_main_captain,team_Abha,team_Al Baten,team_Al Shabab,team_Al Taawon,team_Al Wehda Club,team_Al-Adalah,team_Al-Ahli Jeddah,team_Al-Ain,team_Al-Ettifaq,team_Al-Faisaly FC,team_Al-Fateh,team_Al-Fayha,team_Al-Hazm,team_Al-Hilal Saudi FC,team_Al-Ittihad FC,team_Al-Nassr,team_Al-Qadisiyah FC,team_Al-Raed,team_Dhamk,team_Ohod,formation_3-1-4-2,formation_3-4-1-2,formation_3-4-2-1,formation_3-4-3,formation_3-5-2,formation_4-1-3-2,formation_4-1-4-1,formation_4-2-2-2,formation_4-2-3-1,formation_4-3-1-2,formation_4-3-2-1,formation_4-3-3,formation_4-4-1-1,formation_4-4-2,formation_4-5-1,formation_5-3-2,formation_5-4-1,coach_A. Chebbi,coach_A. Horvat,coach_A. Souayah,coach_A. Stanojević,coach_A. Veselinović,coach_Abdullah Assiri,coach_Al Humaidy Al Otaibi,coach_André Gaspar,coach_B. Hasi,coach_B. Ivanković,coach_Bandar Basryh,coach_C. Gross,coach_Carlos Hernandez,coach_D. Carreño,coach_D. Isăilă,coach_Essa Al Mehyani,coach_F. Al Jabal,coach_F. Al-Ghamdi,coach_F. Al-Waraqah,coach_F. Arce,coach_F. Gormi,coach_F. Vercauteren,coach_Fábio Carille,coach_G. Costas,coach_G. Donis,coach_G. Solinas,coach_H. ten Cate,coach_Hélder Cristóvão,coach_I. Petev,coach_Ivo Vieira,coach_J. Almirón,coach_J. Fossati,coach_J. Sierra,coach_Jorge Jesus,coach_Jorge Simão,coach_José Garrido,coach_José Morais,coach_K. Režić,coach_Khaled Al Atawi,coach_L. Ramos,coach_L. Reghecampf,coach_Luis García,coach_M. Cvitanović,coach_M. Kouki,coach_M. Panait,coach_M. Rednic,coach_M. Skibbe,coach_M. Şumudică,coach_Mahmoud Al-Hadid,coach_Mano Menezes,coach_Mazen Bahkali,coach_Mido,coach_Mohammed Al-Abdali,coach_Mohammed Alaryani,coach_N. Beyaoui,coach_N. El Maestro,coach_N. Zekri,coach_P. Guede,coach_Pablo Machín,coach_Patrice Carteron,coach_Paulo Alves,coach_Paulo Sérgio,coach_Pedro Caixinha,coach_Pedro Emanuel,coach_Péricles Chamusca,coach_R. Díaz,coach_R. Lucescu,coach_Rogério Micale,coach_Rui Vitória,coach_S. Bilić,coach_S. Kasri,coach_S. Muslin,coach_Saleh Al Mohammadi,coach_Sergio Piernas,coach_Sultan Al-Qanwi,coach_V. Milojević,coach_Vítor Campelos,coach_Y. Al Mannai,coach_Y. Ferrera,coach_Yousef Alghadeer,coach_Youssef Anbar,coach_Z. Mamić,opponent_Abha,opponent_Al Baten,opponent_Al Shabab,opponent_Al Taawon,opponent_Al Wehda Club,opponent_Al-Adalah,opponent_Al-Ahli Jeddah,opponent_Al-Ain,opponent_Al-Ettifaq,opponent_Al-Faisaly FC,opponent_Al-Fateh,opponent_Al-Fayha,opponent_Al-Hazm,opponent_Al-Hilal Saudi FC,opponent_Al-Ittihad FC,opponent_Al-Nassr,opponent_Al-Qadisiyah FC,opponent_Al-Raed,opponent_Dhamk,opponent_Ohod,opponent_formation_3-1-4-2,opponent_formation_3-4-1-2,opponent_formation_3-4-2-1,opponent_formation_3-4-3,opponent_formation_3-5-2,opponent_formation_4-1-3-2,opponent_formation_4-1-4-1,opponent_formation_4-2-2-2,opponent_formation_4-2-3-1,opponent_formation_4-3-1-2,opponent_formation_4-3-2-1,opponent_formation_4-3-3,opponent_formation_4-4-1-1,opponent_formation_4-4-2,opponent_formation_4-5-1,opponent_formation_5-3-2,opponent_formation_5-4-1,opponent_coach_A. Chebbi,opponent_coach_A. Horvat,opponent_coach_A. Souayah,opponent_coach_A. Stanojević,opponent_coach_A. Veselinović,opponent_coach_Abdullah Assiri,opponent_coach_Al Humaidy Al Otaibi,opponent_coach_André Gaspar,opponent_coach_B. Hasi,opponent_coach_B. Ivanković,opponent_coach_Bandar Basryh,opponent_coach_C. Gross,opponent_coach_Carlos Hernandez,opponent_coach_D. Carreño,opponent_coach_D. Isăilă,opponent_coach_Essa Al Mehyani,opponent_coach_F. Al Jabal,opponent_coach_F. Al-Ghamdi,opponent_coach_F. Al-Waraqah,opponent_coach_F. Arce,opponent_coach_F. Gormi,opponent_coach_F. Vercauteren,opponent_coach_Fábio Carille,opponent_coach_G. Costas,opponent_coach_G. Donis,opponent_coach_G. Solinas,opponent_coach_H. ten Cate,opponent_coach_Hélder Cristóvão,opponent_coach_I. Petev,opponent_coach_Ivo Vieira,opponent_coach_J. Almirón,opponent_coach_J. Fossati,opponent_coach_J. Sierra,opponent_coach_Jorge Jesus,opponent_coach_Jorge Simão,opponent_coach_José Garrido,opponent_coach_José Morais,opponent_coach_K. Režić,opponent_coach_Khaled Al Atawi,opponent_coach_L. Ramos,opponent_coach_L. Reghecampf,opponent_coach_Luis García,opponent_coach_M. Cvitanović,opponent_coach_M. Kouki,opponent_coach_M. Panait,opponent_coach_M. Rednic,opponent_coach_M. Skibbe,opponent_coach_M. Şumudică,opponent_coach_Mahmoud Al-Hadid,opponent_coach_Mano Menezes,opponent_coach_Mazen Bahkali,opponent_coach_Mido,opponent_coach_Mohammed Al-Abdali,opponent_coach_Mohammed Alaryani,opponent_coach_N. Beyaoui,opponent_coach_N. El Maestro,opponent_coach_N. Zekri,opponent_coach_P. Guede,opponent_coach_Pablo Machín,opponent_coach_Patrice Carteron,opponent_coach_Paulo Alves,opponent_coach_Paulo Sérgio,opponent_coach_Pedro Caixinha,opponent_coach_Pedro Emanuel,opponent_coach_Péricles Chamusca,opponent_coach_R. Díaz,opponent_coach_R. Lucescu,opponent_coach_Rogério Micale,opponent_coach_Rui Vitória,opponent_coach_S. Bilić,opponent_coach_S. Kasri,opponent_coach_S. Muslin,opponent_coach_Saleh Al Mohammadi,opponent_coach_Sergio Piernas,opponent_coach_Sultan Al-Qanwi,opponent_coach_V. Milojević,opponent_coach_Vítor Campelos,opponent_coach_Y. Al Mannai,opponent_coach_Y. Ferrera,opponent_coach_Yousef Alghadeer,opponent_coach_Youssef Anbar,opponent_coach_Z. Mamić,season_2018/2019,season_2019/2020,season_2020/2021
312874,0,0.5862068965517242,3.0,2.0,0.2753623188405797,0.2898550724637681,0.5639534883720936,0.49418604651162834,0.168604651162791,0.4880952380952381,0.8662790697674421,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312875,1,0.5862068965517242,0.0,1.0,0.30434782608695654,0.5507246376811594,0.558139534883721,0.5639534883720936,0.4651162790697678,0.2976190476190476,0.5406976744186052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312875,0,0.5862068965517242,1.0,0.0,0.5507246376811594,0.30434782608695654,0.5639534883720936,0.558139534883721,0.5406976744186052,0.7023809523809523,0.4651162790697678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312876,1,0.5862068965517242,0.0,0.0,0.17391304347826086,0.391304347826087,0.587209302325582,0.4418604651162794,0.35465116279069786,0.32142857142857145,0.7034883720930232,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
312876,0,0.5862068965517242,0.0,0.0,0.391304347826087,0.17391304347826086,0.4418604651162794,0.587209302325582,0.7034883720930232,0.6785714285714286,0.35465116279069786,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312877,1,0.5862068965517242,2.0,4.0,0.36231884057971014,0.5072463768115942,0.4709302325581399,0.6802325581395348,0.5406976744186052,0.38095238095238093,0.6686046511627906,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312877,0,0.5862068965517242,4.0,2.0,0.5072463768115942,0.36231884057971014,0.6802325581395348,0.4709302325581399,0.6686046511627906,0.6190476190476191,0.5406976744186052,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312878,1,0.5862068965517242,2.0,0.0,0.43478260869565216,0.4782608695652174,0.6569767441860472,0.587209302325582,0.5465116279069768,0.4642857142857143,0.5348837209302326,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312878,0,0.5862068965517242,0.0,2.0,0.4782608695652174,0.43478260869565216,0.587209302325582,0.6569767441860472,0.5348837209302326,0.5357142857142857,0.5465116279069768,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312879,1,0.5862068965517242,2.0,1.0,0.391304347826087,0.3333333333333333,0.4011627906976747,0.30813953488372103,0.5000000000000004,0.5476190476190477,0.5930232558139537,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312879,0,0.5862068965517242,1.0,2.0,0.3333333333333333,0.391304347826087,0.30813953488372103,0.4011627906976747,0.5930232558139537,0.4523809523809524,0.5000000000000004,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312880,1,0.5862068965517242,2.0,2.0,0.15942028985507248,0.391304347826087,0.5116279069767447,0.6162790697674421,0.4069767441860468,0.30952380952380953,0.5639534883720936,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312880,0,0.5862068965517242,2.0,2.0,0.391304347826087,0.15942028985507248,0.6162790697674421,0.5116279069767447,0.5639534883720936,0.6904761904761905,0.4069767441860468,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
312881,1,0.6206896551724138,3.0,2.0,0.36231884057971014,0.2028985507246377,0.3662790697674425,0.6046511627906979,0.5465116279069768,0.6309523809523809,0.48837209302325624,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312881,0,0.6206896551724138,2.0,3.0,0.2028985507246377,0.36231884057971014,0.6046511627906979,0.3662790697674425,0.48837209302325624,0.36904761904761907,0.5465116279069768,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312882,1,0.6206896551724138,0.0,2.0,0.4782608695652174,0.30434782608695654,0.8430232558139537,0.5000000000000004,0.7209302325581399,0.6428571428571428,0.5000000000000004,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312882,0,0.6206896551724138,2.0,0.0,0.30434782608695654,0.4782608695652174,0.5000000000000004,0.8430232558139537,0.5000000000000004,0.35714285714285715,0.7209302325581399,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312883,1,0.6206896551724138,2.0,2.0,0.3333333333333333,0.18840579710144928,0.3895348837209305,0.7209302325581399,0.48837209302325624,0.6190476190476191,0.587209302325582,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
